"Component","Scarlet 14","Gray 10","Traditions","Declining Balance","Carmen 1","Carmen 2"
"Visits","14","10","Access every hour","Not Included","Not Included","Not Included"
"Visit Exchange","Included","Included","Not Included","Not Included","Not Included","Not Included"
"Dining Dollars","200","200","100","1,679","340","665"
"BuckID Cash","150","150","Option to add","Option to add","Option to add","Option to add"
"Optional Plus Plan","Not Included","Not Included","Included","Not Included","Not Included","Not Included"
"Availability note","Available to all Columbus campus students","Available to all Columbus campus students","Available to all Columbus campus students","Not Included – second year or higher only","Not Included – off-campus residents only","Not Included – off-campus residents only"
"Price per Semester (TG 26)","2,895","2,430","2,373","2,583","523","1,023"
